- Abaltzisketa,"43.0511556605488,-2.1103793483"
- Aduna,"43.2148106751035,-2.0547512862"
- Aia,"43.2451125458756,-2.1524271053"
- Aizarnazabal,"43.2654082683414,-2.2328314208"
- Albiztur,"43.1286481892164,-2.1438702256"
- Alegia,"43.0984291963537,-2.0950335216"
- Alkiza,"43.1738208651163,-2.1072950636"
- Altzaga,"43.0670640008816,-2.1520475691"
- Altzo,"43.318996,-1.969857"
- Amezketa,"43.0577010454371,-2.0683647756"
- Andoain,"43.2194140168093,-2.0209083686"
- Anoeta,"43.1701124171838,-2.0695151988"
- Antzuola,"43.1041437792684,-2.3699809496"
- Arama,"43.0608364413765,-2.1651457508"
- Aretxabaleta,"43.0301858431505,-2.4857005835"
- ArrasateoMondragon,"43.0745226631642,-2.4841486565"
- Asteasu,"43.204763478507,-2.10018493788"
- Astigarraga,"43.2797569478888,-1.9334342263"
- Ataun,"42.9796361314241,-2.1543730024"
- Azkoitia,"43.1706487685027,-2.3309631204"
- Azpeitia,"43.1624073640789,-2.2517858723"
- Baliarrain,"43.072904235762,-2.12937296198"
- Beasain,"43.0732613951147,-2.2179073142"
- Beizama,"43.1259944935629,-2.2123597681"
- Belauntza,"43.1368714092324,-2.0422415619"
- Berastegi,"43.1464870460125,-1.9651025906"
- Bergara,"43.1220053801849,-2.4148383635"
- Berrobi,"43.1487038324563,-2.0239483753"
- Bidegoian,"43.318996,-1.969857"
- Deba,"43.2945746872118,-2.3538208007"
- Donostia-San-Sebastian,"43.2918111063554,-1.9885133578"
- Eibar,"43.1997782323138,-2.4616488769"
- Elduain,"43.1624764973566,-1.9637004373"
- Elgeta,"43.1573295235719,-2.4928976071"
- Elgoibar,"43.2113912005164,-2.4069004651"
- Errenteria,"43.2553049551337,-1.8928623455"
- Errezil,"43.175197621669,-2.18665834098"
- Eskoriatza,"42.9970623388123,-2.5375989643"
- Ezkio-Itsaso,"43.318996,-1.969857"
- Gabiria,"43.0564264276035,-2.2875789081"
- Gaintza,"43.0557042304305,-2.1261370893"
- Gaztelu,"43.1006932645294,-2.0204088924"
- Getaria,"43.3000105609083,-2.2068528675"
- Hernani,"43.2387833429893,-1.9442591545"
- Hernialde,"43.1539878173137,-2.0929099767"
- Hondarribia,"43.3748851848767,-1.8239709632"
- Ibarra,"43.1410625297485,-2.0483887481"
- Idiazabal,"42.9958096762625,-2.2284591474"
- Ikaztegieta,"43.0927276291788,-2.1211073159"
- Irun,"43.318640571622,-1.77372589148"
- Irura,"43.1666662035184,-2.0600830167"
- Itsasondo,"43.0807110959628,-2.1741478951"
- Larraul,"43.1860097938573,-2.1214618071"
- Lasarte-Oria,"43.263787380437,-2.01193141046"
- Lazkao,"43.0194888194631,-2.1671234871"
- Leaburu,"43.1190879838945,-2.0576530919"
- Legazpi,"43.0307535874133,-2.3423674188"
- Legorreta,"43.0906368575726,-2.1531780155"
- Leintz-Gatzaga,"42.9762261660884,-2.5685473378"
- Lezo,"43.3263415090448,-1.8857695480"
- Lizartza,"43.0938289796615,-2.0225400569"
- Mendaro,"43.2457849908884,-2.3785784162"
- Mutiloa,"43.0292929247068,-2.2747759246"
- Mutriku,"43.3016874985659,-2.3847547875"
- Oiartzun,"43.2541730488123,-1.8474567504"
- Olaberria,"43.0269847186225,-2.2062387371"
- Onati,"43.0178261678898,-2.4067931275"
- Ordizia,"43.0637579709383,-2.1818318125"
- Orendain,"43.0776972095907,-2.1047991537"
- Orexa,"43.0887631172591,-1.9958109752"
- Orio,"43.2774552762092,-2.1270561218"
- Ormaiztegi,"43.0431830895564,-2.2493060868"
- Pasaia,"43.318996,-1.969857"
- Segura,"43.0008205693626,-2.2576493141"
- SoraluzeoPlacencia-de-las-Arma,"43.318996,-1.969857"
- Tolosa,"43.1077539093613,-2.0800512827"
- Urnieta,"43.2279274707467,-1.9641779933"
- Urretxu,"43.0993876699294,-2.3241971941"
- Usurbil,"43.2714582916227,-2.0481375743"
- Villabona,"43.1863841159828,-2.0308643183"
- Zaldibia,"43.0200985883723,-2.1387631971"
- Zarautz,"43.280963309723,-2.16722426204"
- Zegama,"42.9703650036361,-2.2928784865"
- Zerain,"43.0106766715273,-2.2848024333"
- Zestoa,"43.2418186051628,-2.2379868639"
- Zizurkil,"43.2132231675484,-2.0774848895"
- Zumaia,"43.2876451846902,-2.2461133898"
- Zumarraga,"43.1030792391374,-2.3156108273"
